DIRECTED	paperref-cites
cat=NOTEXIST,EXIST:exists
77226	paperref:3811	|	paperref:5430	|	exists=EXIST:P=0.0,1.0
74535	paperref:2848	|	paperref:5624	|
73960	paperref:2070	|	paperref:5574	|
63568	paperref:513	|	paperref:2819	|
54445	paperref:112	|	paperref:2702	|	exists=EXIST:P=0.0,1.0
65058	paperref:767	|	paperref:5229	|
75710	paperref:698	|	paperref:485	|
75576	paperref:3774	|	paperref:4942	|	exists=EXIST:P=0.0,1.0
61217	paperref:4938	|	paperref:4907	|	exists=EXIST:P=0.0,1.0
70848	paperref:5360	|	paperref:4928	|
50036	paperref:4551	|	paperref:4986	|
58300	paperref:624	|	paperref:3905	|
57630	paperref:1619	|	paperref:3082	|	exists=EXIST:P=0.0,1.0
57013	paperref:5620	|	paperref:3037	|
57668	paperref:1499	|	paperref:3898	|
74012	paperref:1554	|	paperref:725	|
66456	paperref:5610	|	paperref:1481	|
58380	paperref:1943	|	paperref:759	|
52660	paperref:2702	|	paperref:5597	|
51637	paperref:1404	|	paperref:3621	|
74231	paperref:1552	|	paperref:2453	|
57787	paperref:2295	|	paperref:138	|	exists=NOTEXIST:P=1.0,0.0
52805	paperref:1421	|	paperref:2692	|
71473	paperref:3873	|	paperref:3422	|
67624	paperref:1446	|	paperref:3421	|
73516	paperref:327	|	paperref:309	|
74313	paperref:4655	|	paperref:105	|
73686	paperref:3856	|	paperref:4019	|
50566	paperref:1361	|	paperref:1777	|
66912	paperref:919	|	paperref:4021	|
52985	paperref:306	|	paperref:3483	|
78212	paperref:3497	|	paperref:4456	|
68290	paperref:2468	|	paperref:700	|
66409	paperref:519	|	paperref:2983	|	exists=NOTEXIST:P=1.0,0.0
57343	paperref:4969	|	paperref:3054	|
51915	paperref:3755	|	paperref:1397	|
71652	paperref:5324	|	paperref:5097	|
50604	paperref:2944	|	paperref:5506	|
49886	paperref:438	|	paperref:426	|	exists=EXIST:P=0.0,1.0
73129	paperref:1170	|	paperref:2702	|
56026	paperref:5024	|	paperref:3842	|
55504	paperref:1133	|	paperref:4542	|
67249	paperref:335	|	paperref:4590	|	exists=EXIST:P=0.0,1.0
63106	paperref:349	|	paperref:3263	|
77814	paperref:2004	|	paperref:3847	|
76101	paperref:5579	|	paperref:4369	|	exists=NOTEXIST:P=1.0,0.0
60750	paperref:1401	|	paperref:3897	|
59522	paperref:4045	|	paperref:633	|
66136	paperref:2321	|	paperref:3074	|
71307	paperref:1316	|	paperref:1162	|
56636	paperref:1657	|	paperref:4	|
54533	paperref:2961	|	paperref:3923	|
63800	paperref:1903	|	paperref:5393	|
71116	paperref:1424	|	paperref:4493	|
58128	paperref:5531	|	paperref:1990	|	exists=EXIST:P=0.0,1.0
77464	paperref:191	|	paperref:5292	|
63231	paperref:1166	|	paperref:1640	|
70169	paperref:2763	|	paperref:3052	|
58179	paperref:3884	|	paperref:3527	|
75201	paperref:3951	|	paperref:2126	|
59574	paperref:1936	|	paperref:4135	|	exists=NOTEXIST:P=1.0,0.0
54117	paperref:4985	|	paperref:3524	|
59771	paperref:5363	|	paperref:4611	|
55732	paperref:2609	|	paperref:381	|
75349	paperref:2687	|	paperref:1753	|
77590	paperref:2838	|	paperref:3845	|	exists=EXIST:P=0.0,1.0
59577	paperref:3940	|	paperref:4074	|
61633	paperref:1402	|	paperref:457	|
60224	paperref:5372	|	paperref:4465	|
57073	paperref:1297	|	paperref:596	|
67205	paperref:1070	|	paperref:3597	|	exists=NOTEXIST:P=1.0,0.0
54054	paperref:3641	|	paperref:194	|	exists=EXIST:P=0.0,1.0
51987	paperref:853	|	paperref:991	|	exists=NOTEXIST:P=1.0,0.0
76931	paperref:5368	|	paperref:1496	|
55644	paperref:120	|	paperref:1091	|
74937	paperref:3029	|	paperref:511	|
64099	paperref:1591	|	paperref:878	|
59791	paperref:2500	|	paperref:5601	|
61917	paperref:2455	|	paperref:5638	|
64230	paperref:4330	|	paperref:649	|
49420	paperref:1174	|	paperref:1639	|
67713	paperref:4754	|	paperref:586	|	exists=NOTEXIST:P=1.0,0.0
75096	paperref:3816	|	paperref:740	|
66741	paperref:3667	|	paperref:1059	|
52860	paperref:3606	|	paperref:3724	|
63758	paperref:6	|	paperref:2531	|
65972	paperref:1948	|	paperref:4583	|	exists=EXIST:P=0.0,1.0
54308	paperref:5054	|	paperref:4752	|	exists=EXIST:P=0.0,1.0
54780	paperref:3104	|	paperref:3831	|
